"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2E2ZVy2fxslpAUgbb4zu84","Abracadabra","spotify:artist:6QtGlUje9TIkLrgPZrESuk","Steve Miller Band","spotify:album:0afS7TjKOoq8LzTx9CgOnu","Abracadabra","spotify:artist:6QtGlUje9TIkLrgPZrESuk","Steve Miller Band","1982-01-01","https://i.scdn.co/image/ab67616d0000b273b80d7868e6e0275d12102508","1","2","308373","https://p.scdn.co/mp3-preview/ef13ba700edcae0c96a748d8f2326a84b291d7e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USCA28500258","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:2EoIt9vdgFRNW03u5IvFsQ","Achy Breaky Heart","spotify:artist:60rpJ9SgigSd16DOAG7GSa","Billy Ray Cyrus","spotify:album:2Rh2JyaBjJwPMFR9Dl60nV","Some Gave All","spotify:artist:60rpJ9SgigSd16DOAG7GSa","Billy Ray Cyrus","1992","https://i.scdn.co/image/ab67616d0000b273bf80fa37dadf36f79441104f","1","2","203373","https://p.scdn.co/mp3-preview/dff44fa5699c889887439c61bdb2337876cc9bd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USPG19290113","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:5RKO2DLADKAgXfwxxKWIF6","Addicted To Love","spotify:artist:530Sdm7eqqzWBdDmILMgnu","Robert Palmer","spotify:album:1EF5lSdAf27b2CS1lcmaqj","Riptide (Deluxe Edition)","spotify:artist:530Sdm7eqqzWBdDmILMgnu","Robert Palmer","1985","https://i.scdn.co/image/ab67616d0000b273db72f7db65a838e53505503c","1","3","350253","https://p.scdn.co/mp3-preview/51411a2f601ac73c839645a117502a8092f88d39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","USUM70612588","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:0rl84FuazRHYmK72krdmA1","Adia","spotify:artist:4NgNsOXSwIzXlUIJcpnNUp","Sarah McLachlan","spotify:album:5qC5YqtLMlsm5Pyl6GtfpP","Surfacing","spotify:artist:4NgNsOXSwIzXlUIJcpnNUp","Sarah McLachlan","1997-08-29","https://i.scdn.co/image/ab67616d0000b2739469c3ab051994ec802574a6","1","4","244666","https://p.scdn.co/mp3-preview/48aea7872c4cc740b3bcefa3dfe20a6bfe2db4be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USAR19800538","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:0IaMMHVbpJ0LrRAeigWOXr","Again","spotify:artist:4qwGe91Bz9K2T8jXTZ815W","Janet Jackson","spotify:album:7qIuZgsMkRuh7rzi4qVcpg","Janet","spotify:artist:4qwGe91Bz9K2T8jXTZ815W","Janet Jackson","1993-05-18","https://i.scdn.co/image/ab67616d0000b273e63518d50aff63f57d2b8ead","1","19","227133","https://p.scdn.co/mp3-preview/c7b77389cce5213a67224bb34cdc59a71e350a0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBAAA9300179","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:5c1QJAiC3773EwiZLwHf5x","Again","spotify:artist:5gznATMVO85ZcLTkE9ULU7","Lenny Kravitz","spotify:album:7aiQ0WWBBC0HzeI0PgGYJs","Again","spotify:artist:5gznATMVO85ZcLTkE9ULU7","Lenny Kravitz","2000-01-01","https://i.scdn.co/image/ab67616d0000b27381bb674330f0276e88bd0722","1","1","231666","https://p.scdn.co/mp3-preview/a1b3ca43209c578c27cd05bee60399d77a39093b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USVI20000423","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:63CHa6rmamv9OsehkRD8oz","Against All Odds (Take a Look at Me Now) - 2016 Remaster","spotify:artist:4lxfqrEsLX6N1N4OCSkILp","Phil Collins","spotify:album:7yZHLfxqiGPbSQLrVJljah","The Singles (Expanded)","spotify:artist:4lxfqrEsLX6N1N4OCSkILp","Phil Collins","2016-10-14","https://i.scdn.co/image/ab67616d0000b2737422ea855ab95313c190855d","1","10","206360","https://p.scdn.co/mp3-preview/a68679a45163dcd42caecf243ed9e6bbc256a971?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USRH11603367","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:4nop5UmWUqnlxkQ4kvG3Rp","Ain't No Mountain High Enough","spotify:artist:0rXI0q8Cahq6numvPlloaq, spotify:artist:3RwQ26hR2tJtA8F9p2n7jG","Diana Ross & The Supremes, The Temptations","spotify:album:7tZt4EApjs2MSzt0OJ1vaT","Diana Ross & The Supremes Join The Temptations","spotify:artist:0rXI0q8Cahq6numvPlloaq, spotify:artist:3RwQ26hR2tJtA8F9p2n7jG","Diana Ross & The Supremes, The Temptations","1968-11-08","https://i.scdn.co/image/ab67616d0000b273c135abb635755dfccee0c180","1","3","136466","https://p.scdn.co/mp3-preview/0e9ce102d0840e1ed11ba0bc7e4a4d6a05fe919a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USMO10300001","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:1k1Bqnv2R0uJXQN4u6LKYt","Ain't No Sunshine","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","spotify:album:6N8uPmDqbgXD3ztkCCfxoo","Just As I Am","spotify:artist:1ThoqLcyIYvZn7iWbj8fsj","Bill Withers","1971-05-01","https://i.scdn.co/image/ab67616d0000b273e1e350d06ffebd2e19e047ce","1","2","125093","https://p.scdn.co/mp3-preview/4894057a7cdc4be59cd335cfc369ba2d3a3b2ad8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USSM10000372","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:6J8vBmsokURohC3UygqYOH","Ain't It Funny","spotify:artist:2DlGxzQSjYe5N6G9nkYghR","Jennifer Lopez","spotify:album:76QqoE30i9HVwxtxYMkWXT","J.Lo","spotify:artist:2DlGxzQSjYe5N6G9nkYghR","Jennifer Lopez","2001-01-23","https://i.scdn.co/image/ab67616d0000b273bfa0a1de59696c7a6fe15ebb","1","5","245360","https://p.scdn.co/mp3-preview/3f7ba65d9de9200c24479e1860a791844ffb60a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USSM10018510","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:2x5IXUFOcvvBUtEpnCBNlp","Alive And Kicking","spotify:artist:6hN9F0iuULZYWXppob22Aj","Simple Minds","spotify:album:4YimfceN1R0nOS9CefIFhm","Once Upon A Time (Super Deluxe)","spotify:artist:6hN9F0iuULZYWXppob22Aj","Simple Minds","1985","https://i.scdn.co/image/ab67616d0000b2735695a657aef0e81bde0c6001","2","5","289453","https://p.scdn.co/mp3-preview/e84d64586ad4bf24551aa1414ac696ef16fee755?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","GBAAA8500070","spotify:user:1139977116","2023-03-20T13:45:21Z"
"spotify:track:5jE48hhRu8E6zBDPRSkEq7","All About That Bass","spotify:artist:6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","spotify:album:5W98Ab4VvQEuFEE4TIe5fE","Title (Deluxe)","spotify:artist:6JL8zeS1NmiOftqZTRgdTz","Meghan Trainor","2015-01-09","https://i.scdn.co/image/ab67616d0000b2733b11178cccd78ec77fc12dbc","1","2","187920","https://p.scdn.co/mp3-preview/1b70daa1ab36b3ac0a02bfc24d157dcddc36d5ba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","73","USSM11401317","spotify:user:1139977116","2023-03-17T09:16:20Z"
"spotify:track:1DapqOfkDAQCiKnvfwKo0g","All Around the World - Remastered","spotify:artist:2jS7I1u7BpgWT9ssG62Zr1, spotify:artist:6Ufm4BHf4ZdolpvcvYgH2S, spotify:artist:0A1FSG9WZ2dQ5JSkQYJHIp","Lisa Stansfield, Ian Devaney, Andy Morris","spotify:album:2NGdpRuh0JgRLrdAK8AyNR","Affection","spotify:artist:2jS7I1u7BpgWT9ssG62Zr1","Lisa Stansfield","1989","https://i.scdn.co/image/ab67616d0000b2732a604708f8cc63898ea5e660","1","5","265760","https://p.scdn.co/mp3-preview/9a725ecc38cf0cd065b50e0561b17bae858d40a0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBARL0300125","spotify:user:1139977116","2023-03-17T09:16:20Z"
