title,artist,Track Name,Artist Name(s)
Can't Let Go,Mariah Carey,Can't Let Go,Mariah Carey
Can't Nobody Hold Me Down,Puff Daddy,Can't Nobody Hold Me Down (feat. Mase),"Diddy, Mase"
Can't Take My Eyes Off You,Frankie Valli,Can't Take My Eyes Off You,Frankie Valli & The Four Seasons
Can't You Hear My Heartbeat,Herman's Hermits,Can't You Hear My Heartbeat,Herman's Hermits
Candida,Dawn,Candida,The Dawn
Candy Man,Sammy Davis Jr.,The Candy Man,Sammy Davis Jr.
Candy Shop,50 Cent,Candy Shop,"50 Cent, Olivia"
Cars,Gary Numan,Cars,Gary Numan
Cathy's Clown,Everly Brothers,Cathy's Clown - 2007 Remaster,The Everly Brothers
Celebration,Kool and The Gang,Celebration,Kool & The Gang
Centerfold,J. Geils Band,Centerfold,The J. Geils Band
Change The World,Eric Clapton,Change the World,Eric Clapton
Check on It,Beyonce,Check On It (feat. Slim Thug),"Beyoncé, Slim Thug"
Cherish,Association,Cherish,The Association
Cherish,Kool and The Gang,Cherish,Kool & The Gang
Close To You,Maxi Priest,Close To You,Maxi Priest
Closer,Ne-Yo,Closer,Ne-Yo
Cold Hearted,Paula Abdul,Cold Hearted,Paula Abdul
Come And Get Your Love,Redbone,Come and Get Your Love - Single Version,Redbone
Come On Eileen,Dexy's Midnight Runners,Come On Eileen,Dexys Midnight Runners
Coming Up,Paul McCartney,Coming Up,Paul McCartney
Complicated,Avril Lavigne,Complicated,Avril Lavigne
Confessions Part II,Usher,Confessions Part II,Usher
Cooler Than Me,Mike Posner,Cooler Than Me - Single Mix,"Mike Posner, Gigamesh"
Counting Stars,OneRepublic,Counting Stars,OneRepublic
Cradle Of Love,Billy Idol,Cradle Of Love - Remastered,Billy Idol
Crazy,Gnarls Barkley,Crazy,Gnarls Barkley
Crazy For You,Madonna,Crazy for You,Madonna
Crazy In Love,Beyonce,Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z"
Crimson And Clover,Tommy James and The Shondells,Crimson & Clover,Tommy James & The Shondells
Crocodile Rock,Elton John,Crocodile Rock,Elton John
Cruise,Florida Georgia Line,Cruise,Florida Georgia Line
Cruisin',Smokey Robinson,Cruisin',Smokey Robinson
Cry Like A Baby,Box Tops,Cry Like a Baby,The Box Tops
Crying In The Chapel,Elvis Presley,Crying In the Chapel,Elvis Presley
Crystal Blue Persuasion,Tommy James and The Shondells,Crystal Blue Persuasion,Tommy James & The Shondells
Cups,Anna Kendrick,Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,Anna Kendrick
DJ Got Us Fallin' in Love,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),"Usher, Pitbull"
Da Ya Think I'm Sexy,Rod Stewart,Da Ya Think I'm Sexy,"Rod Stewart, DNCE"
Daddy Don't You Walk So Fast,Wayne Newton,Daddy Don't You Walk So Fast,Wayne Newton
Dance To The Music,Sly and The Family Stone,Dance to the Music,Sly & The Family Stone
"Dance, Dance, Dance",Chic,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",CHIC
Dancing In The Dark,Bruce Springsteen,Dancing In the Dark,Bruce Springsteen
Dancing In The Street,Martha and The Vandellas,Dancing In The Street - Stereo,Martha Reeves & The Vandellas
Dancing Machine,Jackson 5,Dancing Machine - Polow Remix,The Jackson 5
Dancing Queen,ABBA,Me Miras y Te Miro,Grupo Mania
Dani California,Red Hot Chili Peppers,Dani California,Red Hot Chili Peppers
Dark Horse,Katy Perry,Dark Horse,"Katy Perry, Juicy J"
Dedicated To The One I Love,Shirelles,Dedicated To The One I Love,The Shirelles
