,artist,title
293,Britney Spears,Hold It Against Me
294,Britney Spears,I Wanna Go
295,Britney Spears,Womanizer
296,Britney Spears,3
297,Britney Spears,If U Seek Amy
298,Britney Spears,Till The World Ends
299,Britney Spears,Oops!... I Did It Again
300,Brook Benton,Kiddio
301,Brook Benton,The Boll Weevil Song
302,Brook Benton,Baby
303,Brook Benton,Rainy Night In Georgia
304,Brotherhood Of Man,United We Stand
305,Brownstone,If You Love Me
306,Bruce Hornsby and The Range,Mandolin Rain
307,Bruce Springsteen,Cover Me
308,Bruce Springsteen,Glory Days
309,Bruce Springsteen,Hungry Heart
310,Bruce Springsteen,Streets Of Philadelphia
311,Bruno Mars,The Lazy Song
312,Bruno Mars,It Will Rain
313,Bruno Mars,Treasure
314,Bryan Adams,Heaven
315,Bryan Adams,Straight From The Heart
316,Bryan Adams,Do I Have To Say The Words?
317,Bryan Adams,Thought I'd Died And Gone To Heaven
318,Bryan Adams,Please Forgive Me
319,Bryan Adams,Summer Of '69
320,Bryan Adams,Run To You
321,Bryan Adams,Can't Stop This Thing We Started
322,Bubba Sparxxx,Ms. New Booty
323,Buckcherry,Sorry
324,Buckinghams,Don't You Care
325,Buckinghams,"Mercy, Mercy, Mercy"
326,Buffalo Springfield,For What It's Worth
327,Burl Ives,A Little Bitty Tear
328,Burton Cummings,Stand Tall
329,Busta Rhymes,What's It Gonna Be?!
330,Busta Rhymes,Touch It
331,Byrds,Mr. Tambourine Man
332,C+C Music Factory,Here We Go
333,Calvin Harris,Sweet Nothing
334,Calvin Harris,Feel So Close
335,Calvin Harris,Let's Go
336,Calvin Harris,I Need Your Love
337,Calvin Harris,Summer
338,Cam'ron,Hey Ma
339,Cam'ron,Oh Boy
340,Cameo,Word Up
341,Capris,There's A Moon Out Tonight
342,Captain and Tennille,Shop Around
343,Carly Simon,You Belong To Me
344,Carly Simon,Mockingbird
345,Carly Simon,That's The Way I've Always Heard It Should Be
346,Carly Simon,Anticipation
347,Carole King,One Fine Day
348,Carpenters,We've Only Just Begun
349,Carpenters,Sing
350,Carpenters,Please Mr. Postman
351,Carpenters,Top Of The World
352,Carpenters,Yesterday Once More
353,Carpenters,For All We Know
354,Carpenters,Superstar
355,Carpenters,Rainy Days And Mondays
356,Carpenters,Hurting Each Other
357,Carrie Underwood,Blown Away
358,Carrie Underwood,Inside Your Heaven
359,Carrie Underwood,Good Girl
360,Cars,Shake It Up
361,Cars,Drive
362,Cars,You Might Think
363,CeCe Peniston,Keep On Walkin'
364,Celine Dion,That's The Way It Is
365,Celine Dion,If You Asked Me To
366,Celine Dion,Where Does My Heart Beat Now
367,Celine Dion,All By Myself
368,Chad Kroeger,Hero
369,Chad and Jeremy,A Summer Song
370,Chairmen Of The Board,Give Me Just A Little More Time
371,Changing Faces,Stroke You Up
372,Changing Faces,G.H.E.T.T.O.U.T.
373,Charli XCX,Boom Clap
374,Charlie Daniels Band,The Devil Went Down To Georgia
375,Cheap Trick,Don't Be Cruel
376,Cheap Trick,I Want You To Want Me
377,Cher,Bang Bang
378,Cher,Dark Lady
379,Cher,The Way Of Love
380,Cher,If I Could Turn Back Time
381,Cher,Take Me Home
382,Cherish,Do it to It
383,Cheryl Lynn,Got To Be Real
384,Chic,I Want Your Love
385,Chicago,Make Me Smile
386,Chicago,I Don't Wanna Live Without Your Love
387,Chicago,Feelin' Stronger Every Day
388,Chicago,If You Leave Me Now
389,Chicago,Will You Still Love Me?
