playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
1uebWA75dLHSkk7XavGMaB,7 Days,0gPQTLaqHDgdupKEok7J2x,https://p.scdn.co/mp3-preview/bcbdafe3037ed6cfc085f3b1b72bc511a70d6183?cid=961d9cfe0e7c426da68d7932c2693fc9,2000-08-14,"['british soul', 'talent show']",0.659,0.812,-7.499,0.0487,0.23,0.0,0.0951,0.888,83.014,4,0,235133,72.0
1uebWA75dLHSkk7XavGMaB,Linger,0gEyKnHvgkrkBM6fbeHdwK,https://p.scdn.co/mp3-preview/7b68bf72ebc1138e44a5e285d5698a715ea1d46e?cid=961d9cfe0e7c426da68d7932c2693fc9,1993-03-01,"['irish rock', 'pop rock', 'rock']",0.439,0.434,-14.918,0.0265,0.0783,4.87e-05,0.14,0.204,94.845,7,1,274707,80.0
1uebWA75dLHSkk7XavGMaB,Mmm Mmm Mmm Mmm,31v2AQlx4pDI7kmnLxBkem,https://p.scdn.co/mp3-preview/9c0f2b94c3c85fc12c085e439ac0d8c8fef096fe?cid=961d9cfe0e7c426da68d7932c2693fc9,1993-04-05,"['canadian rock', 'pop rock', 'post-grunge']",0.58,0.575,-7.72,0.0231,0.25,1.83e-05,0.0813,0.37,92.934,3,1,235173,69.0
1uebWA75dLHSkk7XavGMaB,Butterfly,6GQ3WTaNHMFlVmN4burGat,https://p.scdn.co/mp3-preview/1fe67a55e303b9b5ba380d0bd8b4b63dbf85c230?cid=961d9cfe0e7c426da68d7932c2693fc9,1999-10-22,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap rock']",0.74,0.811,-4.148,0.0768,0.00155,0.000229,0.107,0.622,103.499,9,0,216773,62.0
1uebWA75dLHSkk7XavGMaB,Green River,11DjZQEZ69EXLo77HVj6yW,https://p.scdn.co/mp3-preview/c0d04e38daa83f5a00cfeda53ec3e8bc07afea6f?cid=961d9cfe0e7c426da68d7932c2693fc9,1969-08-03,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",0.702,0.772,-9.677,0.0277,0.0312,0.00837,0.0809,0.973,141.694,9,1,154120,75.0
1uebWA75dLHSkk7XavGMaB,Bad Moon Rising,20OFwXhEXf12DzwXmaV7fj,https://p.scdn.co/mp3-preview/27b898b53b0e9553509e47eb9a6738c27c97168f?cid=961d9cfe0e7c426da68d7932c2693fc9,1969-08-03,"['classic rock', 'country rock', 'rock', 'southern rock', 'swamp rock']",0.508,0.774,-5.973,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,2,1,141600,83.0
1uebWA75dLHSkk7XavGMaB,Just a Song Before I Go,4dAN7KcWCWx5jV6dpwtfvN,https://p.scdn.co/mp3-preview/2add27dcc3023061ae0310c97e787df945e754c4?cid=961d9cfe0e7c426da68d7932c2693fc9,1977-06-17,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",0.671,0.233,-18.003,0.0378,0.875,0.00016,0.12,0.486,108.065,11,0,133960,62.0
1uebWA75dLHSkk7XavGMaB,Wasted on the Way - 2005 Remaster,3LMe4h7CrPLJrViTVzfDot,https://p.scdn.co/mp3-preview/406cf8283bee7823589e7999122c5b6f00ef20d7?cid=961d9cfe0e7c426da68d7932c2693fc9,1982-06-21,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",0.526,0.543,-12.895,0.0403,0.394,2.84e-05,0.234,0.744,153.668,2,1,171080,53.0
1uebWA75dLHSkk7XavGMaB,Don't It Make My Brown Eyes Blue,7Jpclr7tZ6aQXjoKzWXUJV,https://p.scdn.co/mp3-preview/ca5f88b36a0b26c5f02cfd1207b241c3419964c3?cid=961d9cfe0e7c426da68d7932c2693fc9,1977-01-01,"['classic country pop', 'country', 'country rock', 'mellow gold', 'soft rock']",0.736,0.321,-13.474,0.0444,0.799,0.00897,0.0619,0.342,84.928,6,1,157653,64.0
1uebWA75dLHSkk7XavGMaB,Time (Clock Of The Heart) - Remastered 2003,17P2WfpQLw22ExHysUQtYx,https://p.scdn.co/mp3-preview/260992090df3223263df8fb71267010c9dde8d6b?cid=961d9cfe0e7c426da68d7932c2693fc9,2023-09-22,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",0.696,0.817,-4.907,0.0363,0.517,0.0,0.0827,0.899,117.138,0,0,226413,0.0
