"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0FmCLEHfINGqwlyzvklNqy","Holidae In","spotify:artist:3s2wTjWxK8NOX09dmsvVOh, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi, spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Chingy, Ludacris, Snoop Dogg","spotify:album:0Hv5X7RRaM7F3hfAq0YmzB","Jackpot","spotify:artist:3s2wTjWxK8NOX09dmsvVOh","Chingy","2003-01-01","https://i.scdn.co/image/ab67616d0000b273f9aefc986924f7e9e5e71b74","1","12","314400","https://p.scdn.co/mp3-preview/f5b1ef7bb1e4030ac1af11438e13cf071049334a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USCA20300295","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:7arHM2KZ0KzIZXFVDRGClI","Holiday","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:1DWWb4Q39mp1T3NgyscowF","Madonna","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","1983-07-27","https://i.scdn.co/image/ab67616d0000b273a0e357e57fa28da5ccce2f9a","1","5","231560","https://p.scdn.co/mp3-preview/e5b2eb18868d25d5ae260b8ab6955e722681be3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USWB18300013","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:5VbePtZp1at8gH990zVyTI","Hollywood Nights","spotify:artist:485uL27bPomh29R4JmQehQ","Bob Seger","spotify:album:1vhib5WLHRVdOpRjiTHk15","Stranger In Town","spotify:artist:485uL27bPomh29R4JmQehQ","Bob Seger","1978-05-05","https://i.scdn.co/image/ab67616d0000b273ef063cb80508c55eb443a671","1","1","302626","https://p.scdn.co/mp3-preview/de9cab9e8d0715a55a3c55f165fa3fdc42418f4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USCA28600268","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:5P6t1QIImaKAyphhE1QiY7","Hooked On A Feeling","spotify:artist:0uUNzXylqsZdmFDwdxaP1V","B.J. Thomas","spotify:album:0INAOxIIie4un2aZJw3qf6","Super Hits","spotify:artist:0uUNzXylqsZdmFDwdxaP1V","B.J. Thomas","1968","https://i.scdn.co/image/ab67616d0000b27306ca44cb5a5cc81212b56051","1","1","167413","https://p.scdn.co/mp3-preview/050661e8fbb07121070ae4031c7e2fccae3898eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USACU0504346","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:5LeDMHIZ5YDZ2b1VOcYVcG","Hot In The City","spotify:artist:7lzordPuZEXxwt9aoVZYmG","Billy Idol","spotify:album:5ebh0MxkqELmk50xHj2b4k","Billy Idol","spotify:artist:7lzordPuZEXxwt9aoVZYmG","Billy Idol","1982-01-01","https://i.scdn.co/image/ab67616d0000b273a20464e6697dc1149d3a5cdc","1","3","219133","https://p.scdn.co/mp3-preview/065f4d93f5e6737da9f4f3b75201d03c9fd6b5f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USCH38400019","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:6gWGSfzjmrSSA9OWzHRPQV","Yeah Yeah Yeah - Radio Edit","spotify:artist:4Q6nIcaBED8qUel8bBx6Cr","Jax Jones","spotify:album:2BIysitWt4syY0IkrxVCm5","Yeah Yeah Yeah","spotify:artist:4Q6nIcaBED8qUel8bBx6Cr","Jax Jones","2015-06-19","https://i.scdn.co/image/ab67616d0000b2738b45efb8006bb75bdf1a95be","1","1","219602","https://p.scdn.co/mp3-preview/31c55e430bd65f4b9e44066c279126076a65c388?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBUM71503714","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:7LimFGKop84KMDutqYaNIF","How Do You Like Me Now?!","spotify:artist:2bA6fzP0lMAQ4kz6CF61w8","Toby Keith","spotify:album:3UBjWaGRf6ppcvnJd9M9UC","Toby Keith 35 Biggest Hits","spotify:artist:2bA6fzP0lMAQ4kz6CF61w8","Toby Keith","2008-01-01","https://i.scdn.co/image/ab67616d0000b273d241324e9e9f14f83f293c5a","1","16","205920","https://p.scdn.co/mp3-preview/0118f86fbaa3bc7aa2c0800de9d65829431ce276?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USDW19920901","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:3jkdQNkDTxxXtjSO4l0o1H","How Do You Sleep? - Radio Edit Remix","spotify:artist:2Hjj68yyUPiC0HKEOigcEp, spotify:artist:3ipn9JLAPI5GUEo4y4jcoi","Jesse McCartney, Ludacris","spotify:album:2tDCfKFy2YW9N0IwNSRdOJ","Departure - Recharged","spotify:artist:2Hjj68yyUPiC0HKEOigcEp","Jesse McCartney","2008","https://i.scdn.co/image/ab67616d0000b27340cf6d7e6353abac2fb22b7c","1","4","208333","https://p.scdn.co/mp3-preview/f178c34c5ee6b8ea66ae1e98666f85a7e62381a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USHR10924268","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:2QVHmiFTjFsHyxONRdbkcq","How Do You Talk To An Angel?","spotify:artist:3VvCoGaJ64OBTnhiqta7XL","The Heights","spotify:album:1aF9JPXdMLYIBOSDbPYdBD","The Heights","spotify:artist:3VvCoGaJ64OBTnhiqta7XL","The Heights","1992-01-01","https://i.scdn.co/image/ab67616d0000b2738c0c73bc9a116afeed80d3ed","1","4","227266","https://p.scdn.co/mp3-preview/35db2fea52c1dc99e59086eb1077c4b73b0211e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USCA29200234","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:2HmMklpgK8vGCpJmPpz1yG","How Forever Feels","spotify:artist:3grHWM9bx2E9vwJCdlRv9O","Kenny Chesney","spotify:album:67qNNUSHekqSliS7Q1XZj6","Everywhere We Go","spotify:artist:3grHWM9bx2E9vwJCdlRv9O","Kenny Chesney","1999-02-26","https://i.scdn.co/image/ab67616d0000b273a7e1e1bc8ddf0e767c056ea6","1","2","188200","https://p.scdn.co/mp3-preview/cd95ed412103295a11edf7a8023e1230e4942902?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USBN19700118","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:0Dqo5HkmsQvJJ0kExomBcy","How Much I Feel","spotify:artist:0J2Ej2rMQyqaUX3G6MUISw","Ambrosia","spotify:album:6RrorVbdOAMbIyYjq9tSni","How Much I Feel / Ready for Camarillo","spotify:artist:0J2Ej2rMQyqaUX3G6MUISw","Ambrosia","1978-08-01","https://i.scdn.co/image/ab67616d0000b27355b169352ebdc72bc614f3a2","1","1","285200","https://p.scdn.co/mp3-preview/640f0deffa971e04c7ebc6b90dda02c227475110?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","USWB10902994","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:1BltsZbWBczTcy4llQFxiy","How Much Love","spotify:artist:04LIHk1SobiQwt2tlupoAV","Leo Sayer","spotify:album:7LolR1vd0KTozbF1an0SlW","Endless Flight","spotify:artist:04LIHk1SobiQwt2tlupoAV","Leo Sayer","1976","https://i.scdn.co/image/ab67616d0000b273fc260b9f45d36ce9ebde7bc5","1","8","220880","https://p.scdn.co/mp3-preview/1d83a1d5a19893704a6eaed65ee71661dfeac7de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","GBBLG7600262","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:2zF8ro2hX0aEYaqXQdEKW1","How Sweet It Is (To Be Loved By You)","spotify:artist:3koiLjNrgRTNbOwViDipeA","Marvin Gaye","spotify:album:1kYeM6oy6I8tK7668jM7Hw","How Sweet It Is To Be Loved By You","spotify:artist:3koiLjNrgRTNbOwViDipeA","Marvin Gaye","1965","https://i.scdn.co/image/ab67616d0000b273be2a24c5667e20b2105b4020","1","2","177773","https://p.scdn.co/mp3-preview/9657da0b1edb914ad74393351ecbcc7f188df9bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USMO19582680","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:0spN4UlSI0X6YSYCWpSzgz","How You Gonna See Me Now","spotify:artist:3EhbVgyfGd7HkpsagwL9GS","Alice Cooper","spotify:album:7FFpqmbQxj3u4Q7aLGNox0","From the Inside","spotify:artist:3EhbVgyfGd7HkpsagwL9GS","Alice Cooper","1978","https://i.scdn.co/image/ab67616d0000b27393d5c740cf48ebf6adf1a4a2","1","7","235973","https://p.scdn.co/mp3-preview/eee675ab8a94ac419b4ef2062adb36cc4d8a08a4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USWB10107647","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:35lAjvsvS9k9HHuP1fjDT8","Human Nature","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:1C2h7mLntPSeVYciMRTF4a","Thriller 25 Super Deluxe Edition","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","2008-02-08","https://i.scdn.co/image/ab67616d0000b2734121faee8df82c526cbab2be","1","7","245560","https://p.scdn.co/mp3-preview/176e09576986340553324495129d9448f70783d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM19902992","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:3850dYVgOFIXJh5U4BFEWH","Hung Up","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","spotify:album:1hg0pQJLE9dzfT1kgZtDPr","Confessions on a Dance Floor","spotify:artist:6tbjWDEIzxoDsBA1FuhfPW","Madonna","2005-11-11","https://i.scdn.co/image/ab67616d0000b273efcbc3f42da96cea7583bb6f","1","1","337733","https://p.scdn.co/mp3-preview/dffaf6d378f42c2ec6311d17fadc5fc26eb84bf8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USWB10504319","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:3c0Ys2ie05I4Csansv7Jhi","Hurt so Bad","spotify:artist:1sXbwvCQLGZnaH0Jp2HTVc","Linda Ronstadt","spotify:album:6cmZh9HLohWMUTkshUyLt1","Mad Love","spotify:artist:1sXbwvCQLGZnaH0Jp2HTVc","Linda Ronstadt","1980","https://i.scdn.co/image/ab67616d0000b273b7c2d8eb49d3f9a5c28dc605","1","5","196000","https://p.scdn.co/mp3-preview/ef6194fb32776767a63abde6019b0ee4c9010c9d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USEE10170732","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:3LN41NUdHkyNqQhi9gExMm","Hypnotized (feat. Akon)","spotify:artist:3jksrX4oBklxR78ft8gv3j, spotify:artist:0z4gvV4rjIZ9wHck67ucSV","Plies, Akon","spotify:album:3NoUdjYUcUuRMpOzyapnYW","The Real Testament","spotify:artist:3jksrX4oBklxR78ft8gv3j","Plies","2007-08-06","https://i.scdn.co/image/ab67616d0000b2732d9f3326c45a2733eea2164f","1","14","188493","https://p.scdn.co/mp3-preview/90f850eb918e983c8efb10db331054fd8b792da5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USAT20703764","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:69uJi5QsBtqlYkGURTBli8","I Can't Make You Love Me","spotify:artist:4KDyYWR7IpxZ7xrdYbKrqY","Bonnie Raitt","spotify:album:6blrkOZ0VmkhYPjfoD7eqf","Luck Of The Draw","spotify:artist:4KDyYWR7IpxZ7xrdYbKrqY","Bonnie Raitt","1991-01-01","https://i.scdn.co/image/ab67616d0000b273a1113af3a19a41dc8eec534e","1","3","332960","https://p.scdn.co/mp3-preview/12c8ccd0aa3e8cbd44eb989775038b0ec54cec56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USCA29100113","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:5pDM1xfBg3IL1yMvroLW88","I Dig Rock and Roll Music - 2004 Remaster","spotify:artist:6yrBBtqX2gKCHCrZOYBDrB","Peter\, Paul and Mary","spotify:album:14Qo0TZ3M82PC4EFTt39X0","The Very Best of Peter, Paul and Mary","spotify:artist:6yrBBtqX2gKCHCrZOYBDrB","Peter\, Paul and Mary","2005-08-23","https://i.scdn.co/image/ab67616d0000b2732cfb2e0ebce5717447deb069","1","17","151613","https://p.scdn.co/mp3-preview/cd827e7704190c742bae4e47f12df15f116ea7fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USWB10302516","spotify:user:1139977116","2023-03-17T09:25:53Z"
"spotify:track:2I5CPUnMIKjEXeg61OI9uV","I Do Not Hook Up","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","spotify:album:4h8seeFAi6iYhslcWIxTSG","All I Ever Wanted","spotify:artist:3BmGtnKgCSGYIUhmivXKWX","Kelly Clarkson","2009-03-06","https://i.scdn.co/image/ab67616d0000b2737ed87984e7f39ba42ee1b50a","1","2","200346","https://p.scdn.co/mp3-preview/f77667594c55f3587eeae0af60ac36769f44ab3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBCTA0900006","spotify:user:1139977116","2023-03-17T09:25:53Z"
