Track name, Artist name, Album, Playlist name, Type, ISRC
Two Steps Behind - Acoustic,Def Leppard,Adrenalize (Deluxe),non_hits,Playlist track,GBUM70905166
Take This Heart,Richard Marx,Greatest Hits,non_hits,Playlist track,USCA29100014
When I Look Into Your Eyes,Firehouse,Hold Your Fire,non_hits,Playlist track,USSM19918738
I Wanna Love You,Jade,Jade To The Max,non_hits,Playlist track,USWB10104204
Uhh Ahh,Boyz II Men,Cooleyhighharmony - Expanded Edition,non_hits,Playlist track,USMO19190020
Real Love,Mary J. Blige,What's The 411?,non_hits,Playlist track,USMC19238482
Justified & Ancient,The KLF,Solid State Logik 1,non_hits,Playlist track,GBCEL2000619
That's What Love Is For,Amy Grant,Heart In Motion,non_hits,Playlist track,USSP30765181
Keep Coming Back,Richard Marx,Rush Street,non_hits,Playlist track,USCA29100004
Free Your Mind,En Vogue,R'n'B Party,non_hits,Playlist track,USEE10801441
Keep It Comin',Keith Sweat,Keep It Comin',non_hits,Playlist track,USEE10000042
Just Take My Heart - 2021 Remastered,Mr. Big,Lean Into It (30th Anniversary Edition),non_hits,Playlist track,HKG292100090
I Will Remember You,Amy Grant,Heart In Motion,non_hits,Playlist track,USSP30765186
We Got A Love Thang,CeCe Peniston,Finally,non_hits,Playlist track,USAM19200006
Let's Get Rocked,Def Leppard,Adrenalize (Deluxe),non_hits,Playlist track,GBF089200609
They Want EFX,Das EFX,Hip Hop Selection,non_hits,Playlist track,FR8GV1838530
I Can't Make You Love Me,Bonnie Raitt,Luck Of The Draw,non_hits,Playlist track,USCA29100113
Sleeping Bag,ZZ Top,Afterburner,non_hits,Playlist track,USWB10902088
Tonight She Comes - 2017 Remaster,The Cars,Heartbeat City (Expanded Edition),non_hits,Playlist track,USEE11700330
"Love Touch (Theme from ""Legal Eagles"")",Rod Stewart,Hooked on Hits - At the Movies,non_hits,Playlist track,USWB10807935
A Love Bizarre,Sheila E.,Romance 1600,non_hits,Playlist track,USWB10200852
Nikita,Elton John,Ice On Fire,non_hits,Playlist track,GBAMS8500203
Take Me Home - 2016 Remaster,Phil Collins,No Jacket Required (2016 Remaster),non_hits,Playlist track,USRH11600252
Walk This Way,Run–D.M.C.,Keep Calm and... Forget About Hipsters,non_hits,Playlist track,USAR19600256
Sweet Love,Anita Baker,Soul Classics,non_hits,Playlist track,USAT20804278
Your Wildest Dreams,The Moody Blues,The Other Side Of Life,non_hits,Playlist track,USPR38600040
Spies Like Us - 2022 Remaster,Paul McCartney,The 7” Singles,non_hits,Playlist track,GBCCS2200030
Dreamtime,Daryl Hall,Three Hearts In The Happy Ending Machine,non_hits,Playlist track,USRC18607930
Tender Love,Force M.D.'s,Chillin',non_hits,Playlist track,USTB10300127
King for a Day,Thompson Twins,Here's To Future Days,non_hits,Playlist track,GBARK8500009
"Love Will Conquer All - 12"" Version",Lionel Richie,Dancing On The Ceiling (Expanded Edition),non_hits,Playlist track,USMO10300201
A Different Corner,George Michael,The Final,non_hits,Playlist track,GBBBM8600001
Go Home,Stevie Wonder,In Square Circle,non_hits,Playlist track,USMO18500539
Don't Bring Me Down,Electric Light Orchestra,Discovery,non_hits,Playlist track,USSM10015734
