Track name, Artist name, Album, Playlist name, Type, ISRC
Looking For A New Love - Radio Edit,Jody Watley,20th Century Masters: The Millennium Collection: Best Of Jody Watley,hits,Playlist track,USMC18622159
Mony Mony,Billy Idol,Vital Idol,hits,Playlist track,USNPD1222415
I Will Always Love You,Whitney Houston,The Bodyguard - Original Soundtrack Album,hits,Playlist track,USAR19200110
(I Can't Help) Falling In Love With You,UB40,Promises And Lies,hits,Playlist track,GBAAA9300027
That's The Way Love Goes,Janet Jackson,Janet,hits,Playlist track,GBAAA9300170
Weak,SWV,It's About Time,hits,Playlist track,USRC19205518
If I Ever Fall In Love,Shai,If I Ever Fall In Love,hits,Playlist track,USWWW0202541
Dreamlover,Mariah Carey,Greatest Hits,hits,Playlist track,USSM19303790
Rump Shaker,Wreckx-N-Effect,Hard Or Smooth,hits,Playlist track,USMC19238663
Informer,Snow,12 Inches Of Snow,hits,Playlist track,USEW19300006
"Nuthin' But a ""G"" Thang - Single (In the Style of Dr. Dre feat. Snoop Doggy Dogg) [Performance Track with Demonstration Vocals]",Done Again,"Nuthin' But a ""G"" Thang - Single (In the Style of Dr. Dre feat. Snoop Doggy Dogg) [Performance Track with Demonstration Vocals]",hits,Playlist track,USK4W0710073
In The Still Of The Nite (I'll Remember),Boyz II Men,Cooleyhighharmony (Bonus Tracks Version),hits,Playlist track,USMO10000058
Don't Walk Away,Jade,BET's Listening Party [Live],hits,Playlist track,USWB10604428
Lately,Jodeci,Uptown MTV Unplugged,hits,Playlist track,USMC19340916
Show Me Love,Robin S,Show Me Love,hits,Playlist track,USAT29300075
A Whole New World (Aladdin's Theme),Peabo Bryson,Passion,hits,Playlist track,USLIC0500071
If,Janet Jackson,90s Funk,hits,Playlist track,GBAAA9300172
I'm So Into You,SWV,It's About Time,hits,Playlist track,USRC19205517
End Of The Road,Boyz II Men,Cooleyhighharmony (Bonus Tracks Version),hits,Playlist track,USMO19200465
Baby Got Back,Sir Mix-A-Lot,Mack Daddy,hits,Playlist track,USSM19100221
Jump,Kris Kross,R&B: From Doo-Wop To Hip-Hop,hits,Playlist track,USSM19200696
Tears in Heaven,Eric Clapton,Rush (Music from the Motion Picture Soundtrack),hits,Playlist track,USRE19100010
My Lovin' (You're Never Gonna Get It),En Vogue,Funky Divas,hits,Playlist track,USEW19200001
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),hits,Playlist track,USWB19901576
Just Another Day,Jon Secada,Jon Secada,hits,Playlist track,USSB29200100
I Love Your Smile,Shanice,Inner Child,hits,Playlist track,USMO19190003
To Be With You,Mr. Big,Greatest Hits,hits,Playlist track,USAT20302609
I'm Too Sexy,Right Said Fred,Up,hits,Playlist track,GBBRL9290469
Black or White,Michael Jackson,Dangerous,hits,Playlist track,USSM19000733
Achy Breaky Heart,Billy Ray Cyrus,Some Gave All,hits,Playlist track,USPG19290113
I'll Be There,Mariah Carey,#1's,hits,Playlist track,USSM19200431
November Rain,Guns N' Roses,Use Your Illusion I,hits,Playlist track,USGF19141510
Life Is A Highway,Tom Cochrane,Mad Mad World (Deluxe),hits,Playlist track,CAUM71600209
Remember the Time,Michael Jackson,Dangerous,hits,Playlist track,USSM10020715
Finally,CeCe Peniston,Finally,hits,Playlist track,USWWW0130034
MMMBop - Single Version,Hanson,Kids Songs: Party Songs 2022,hits,Playlist track,USMR19786993
"Say You, Say Me",Lionel Richie,Dancing On The Ceiling (Expanded Edition),hits,Playlist track,USMO18582864
On My Own,Patti LaBelle,Winner In You,hits,Playlist track,USMC18618950
Broken Wings,Mr. Mister,Welcome To The Real World,hits,Playlist track,USRC18404638
How Will I Know,Whitney Houston,Whitney Houston,hits,Playlist track,USAR18500150
Party All the Time,Eddie Murphy,How Could It Be,hits,Playlist track,USSM19801503
"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,Survivor Greatest Hits,hits,Playlist track,USVR19300003
Kyrie,Mr. Mister,Welcome To The Real World,hits,Playlist track,USRC19900944
Addicted To Love,Robert Palmer,Riptide,hits,Playlist track,USIR28500003
Greatest Love of All,Whitney Houston,The Ultimate Collection,hits,Playlist track,USAR10000223
Secret Lovers,Atlantic Starr,Classics Volume 10,hits,Playlist track,USAM18502312
Centerfold,The J. Geils Band,Freeze Frame,hits,Playlist track,USCA28100075
West End Girls - 2001 Remaster,Pet Shop Boys,Please,hits,Playlist track,GBAYE0100001
There'll Be Sad Songs (To Make You Cry),Billy Ocean,Love Zone (Expanded Edition),hits,Playlist track,GBAHK9700113
Alive and Kicking - Live,Simple Minds,Big Music Tour 2015,hits,Playlist track,GBZ8N1500219
Never,Heart,Heart,hits,Playlist track,USCA28500015
Higher Love,Steve Winwood,Back In The High Life,hits,Playlist track,GBAAN8600003
Le Freak - 2018 Remaster,CHIC,C'est Chic (2018 Remaster),hits,Playlist track,USRH11803129
Da Ya Think I'm Sexy,Rod Stewart,Da Ya Think I'm Sexy?,hits,Playlist track,USUM71708957
I Will Survive - Single Version,Gloria Gaynor,20th Century Masters: The Millennium Collection: Best Of Gloria Gaynor,hits,Playlist track,USPR37800083
Y.M.C.A.,Village People,One Night At McCool's (Songs From The Motion Picture),hits,Playlist track,USPR37802455
Ring My Bell,Anita Ward,Ring My Bell,hits,Playlist track,USSZ10503009
Too Much Heaven,Bee Gees,Spirits Having Flown,hits,Playlist track,NLF057890032
When You're In Love With A Beautiful Woman,Dr. Hook,All The Best,hits,Playlist track,USCA20200125
Fire,The Pointer Sisters,Energy (Expanded Edition),hits,Playlist track,USRC10201815
Tragedy,Bee Gees,Night Fever,hits,Playlist track,NLF057990026
A Little More Love - Live,John Farnham,Highlights from The Main Event (Live),hits,Playlist track,AUBM09843704
Heart Of Glass - Special Mix,Blondie,Best Of Blondie,hits,Playlist track,USCH39600074
What a Fool Believes,The Doobie Brothers,Minute by Minute,hits,Playlist track,USWB10902441
Good Times,CHIC,Risqué,hits,Playlist track,USAT20001676
"Sugar, Sugar",The Archies,"The Very Best Of ""The Archies""",hits,Playlist track,NLG620400826
I Can't Get Next To You,The Temptations,Puzzle People,hits,Playlist track,USMO16900541
Honky Tonk Women,The Rolling Stones,Honky Tonk Women / You Can't Always Get What You Want,hits,Playlist track,USA171920240
Everyday People,Sly & The Family Stone,Stand,hits,Playlist track,USSM19913826
Dizzy,Tommy Roe,Tommy's 22 Big Ones,hits,Playlist track,USMC16949184
Hot Fun in the Summertime,Sly & The Family Stone,Greatest Hits,hits,Playlist track,USSM19901654
I'll Never Fall In Love Again,Tom Jones,The Best Of Tom Jones Country Hits 20th Century Masters The Millennium Collection,hits,Playlist track,GBF076720370
Crimson & Clover,Tommy James & The Shondells,Anthology,hits,Playlist track,GBAYE6800094
One - Single Version,Three Dog Night,Three Dog Night,hits,Playlist track,USMC16949737
Crystal Blue Persuasion,Tommy James & The Shondells,Crimson & Clover,hits,Playlist track,USRH10450857
Hair,The Cowsills,The Best Of The Cowsills,hits,Playlist track,USF096925040
Too Busy Thinking About My Baby - Single Version / Mono,Marvin Gaye,M.P.G.,hits,Playlist track,USMO16900298
Suspicious Minds,Elvis Presley,From Elvis in Memphis,hits,Playlist track,USRC16901355
Proud Mary,Creedence Clearwater Revival,Bayou Country (Expanded Edition),hits,Playlist track,USC4R0817594
Physical,Olivia Newton-John,Good Luck Chuck (Original Motion Picture Soundtrack),hits,Playlist track,USCK30700911
Eye of the Tiger,Survivor,Rocky IV,hits,Playlist track,USVR19600010
I Love Rock 'N Roll,Joan Jett & the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),hits,Playlist track,USBH18100118
Ebony And Ivory,Paul McCartney,All The Best (UK Version),hits,Playlist track,GBCCS8200460
The Poor Side Of Town,Johnny Rivers,Changes,hits,Playlist track,USEM38700151
Don't You Want Me - Remastered 2012,The Human League,LOUD & PROUD: 00's Pride,hits,Playlist track,GBAAA1200305
Abracadabra,Steve Miller Band,Abracadabra,hits,Playlist track,USCA28500258
Hard to Say I'm Sorry - 2007 Remaster,Chicago,"The Best of Chicago, 40th Anniversary Edition",hits,Playlist track,USWB10702882
