,Track name, Artist name, Album, Playlist name, Type, ISRC,category
80,If I Can't Have You,Yvonne Elliman,Tubes Disco,hits,Playlist track,GBA077700090,Hit
81,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",CHIC,"Classic Disco 12"" Mixes",hits,Playlist track,USAT21301682,Hit
82,Walk Like an Egyptian,The Bangles,Different Light,hits,Playlist track,USSM18500266,Hit
83,Alone,Heart,Bad Animals,hits,Playlist track,USCA28700690,Hit
84,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Whitney,hits,Playlist track,USAR18700121,Hit
85,Nothing's Gonna Stop Us Now,Starship,No Protection,hits,Playlist track,USRC18702968,Hit
86,C'est La Vie,Robbie Nevil,Robbie Nevil,hits,Playlist track,USUM71602455,Hit
87,Here I Go Again - 2018 Remaster,Whitesnake,Whitesnake (2018 Remaster),hits,Playlist track,GB01A1800010,Hit
88,The Way It Is,Bruce Hornsby and the Range,Essential - One For The Lads,hits,Playlist track,USSM10412626,Hit
89,Shakedown,Bob Seger,Greatest Hits 2,hits,Playlist track,USCA20300669,Hit
90,Livin' On A Prayer,Bon Jovi,Slippery When Wet,hits,Playlist track,USPR38619998,Hit
91,La Bamba,Los Lobos,La Bamba / Charlena,hits,Playlist track,USRH10802794,Hit
92,Everybody Have Fun Tonight,Wang Chung,Mosaic,hits,Playlist track,USGF18611501,Hit
93,Don't Dream It's Over,Crowded House,Crowded House,hits,Playlist track,USCA28600048,Hit
94,Always,Atlantic Starr,All In The Name Of Love,hits,Playlist track,USWB10000497,Hit
95,With Or Without You - Remastered,U2,The Joshua Tree (Super Deluxe),hits,Playlist track,GBUM70709792,Hit
96,Looking For A New Love - Radio Edit,Jody Watley,20th Century Masters: The Millennium Collection: Best Of Jody Watley,hits,Playlist track,USMC18622159,Hit
97,Mony Mony,Billy Idol,Vital Idol,hits,Playlist track,USNPD1222415,Hit
98,I Will Always Love You,Whitney Houston,The Bodyguard - Original Soundtrack Album,hits,Playlist track,USAR19200110,Hit
99,(I Can't Help) Falling In Love With You,UB40,Promises And Lies,hits,Playlist track,GBAAA9300027,Hit
100,That's The Way Love Goes,Janet Jackson,Janet,hits,Playlist track,GBAAA9300170,Hit
101,Weak,SWV,It's About Time,hits,Playlist track,USRC19205518,Hit
102,If I Ever Fall In Love,Shai,If I Ever Fall In Love,hits,Playlist track,USWWW0202541,Hit
103,Dreamlover,Mariah Carey,Greatest Hits,hits,Playlist track,USSM19303790,Hit
104,Rump Shaker,Wreckx-N-Effect,Hard Or Smooth,hits,Playlist track,USMC19238663,Hit
105,Informer,Snow,12 Inches Of Snow,hits,Playlist track,USEW19300006,Hit
106,"Nuthin' But a ""G"" Thang - Single (In the Style of Dr. Dre feat. Snoop Doggy Dogg) [Performance Track with Demonstration Vocals]",Done Again,"Nuthin' But a ""G"" Thang - Single (In the Style of Dr. Dre feat. Snoop Doggy Dogg) [Performance Track with Demonstration Vocals]",hits,Playlist track,USK4W0710073,Hit
107,In The Still Of The Nite (I'll Remember),Boyz II Men,Cooleyhighharmony (Bonus Tracks Version),hits,Playlist track,USMO10000058,Hit
108,Don't Walk Away,Jade,BET's Listening Party [Live],hits,Playlist track,USWB10604428,Hit
109,Lately,Jodeci,Uptown MTV Unplugged,hits,Playlist track,USMC19340916,Hit
110,Show Me Love,Robin S,Show Me Love,hits,Playlist track,USAT29300075,Hit
111,A Whole New World (Aladdin's Theme),Peabo Bryson,Passion,hits,Playlist track,USLIC0500071,Hit
112,If,Janet Jackson,90s Funk,hits,Playlist track,GBAAA9300172,Hit
