title,artist
If I Ain't Got You,Alicia Keys
If I Can't Have You,Yvonne Elliman
If I Ever Fall In Love,Shai
If You Had My Love,Jennifer Lopez
If You're Gone,matchbox twenty
Ignition,R. Kelly
Imma Be,Black Eyed Peas
In Da Club,50 Cent
In My Head,Jason Derulo
In The Still Of The Nite,Boyz II Men
In the End,Linkin Park
Independent Women Part I,Destiny's Child
Informer,Snow
Insensitive,Jann Arden
Ironic,Alanis Morissette
Irreplaceable,Beyonce
Is This Love,Whitesnake
It Keeps Right On a-Hurtin',Johnny Tillotson
It Must Have Been Love,Roxette
It Wasn't Me,Shaggy
It's All Coming Back To Me Now,Celine Dion
It's Been Awhile,Staind
It's Not Over,Daughtry
It's Now Or Never,Elvis Presley
It's Still Rock And Roll To Me,Billy Joel
It's Your Thing,Isley Brothers
Jessie's Girl,Rick Springfield
Jive Talkin',Bee Gees
Joy To The World,Three Dog Night
Jump,Van Halen
Jump,Pointer Sisters
Jump,Kris Kross
Jungle Boogie,Kool and The Gang
Just A Lil Bit,50 Cent
Just Another Day,Jon Secada
Just Can't Get Enough,Black Eyed Peas
Just Dance,Lady Gaga
Just My Imagination,Temptations
Just The Two Of Us,Grover Washington Jr.
Just The Way You Are,Billy Joel
Just The Way You Are,Bruno Mars
Justify My Love,Madonna
Karma Chameleon,Culture Club
Keep On Loving You,REO Speedwagon
Killing Me Softly With His Song,Roberta Flack
Kind Of A Drag,Buckinghams
King Of The Road,Roger Miller
Kiss And Say Goodbye,Manhattans
Kiss Me,Sixpence None The Richer
Kiss On My List,Daryl Hall and John Oates
Kiss You All Over,Exile
Knock On Wood,Amii Stewart
Knock Three Times,Dawn
Knock You Down,Keri Hilson
Kryptonite,3 Doors Down
Kung Fu Fighting,Carl Douglas
Kyrie,Mr. Mister
La Bamba,Los Lobos
Lady,Kenny Rogers
Lady Marmalade,Labelle
Last Friday Night,Katy Perry
Last Train To Clarksville,Monkees
Lately,Jodeci
Laughter In The Rain,Neil Sedaka
Lay Down Sally,Eric Clapton
Le Freak,Chic
Lean Back,Terror Squad
Lean On,Major Lazer
Lean On Me,Bill Withers
Let Her Go,Passenger
Let It Be,Beatles
Let It Rock,Kevin Rudolf
Let's Dance,David Bowie
Let's Get It On,Marvin Gaye
Let's Hear It For The Boy,Deniece Williams
Let's Stay Together,Al Green
Life Is A Highway,Tom Cochrane
Light My Fire,Doors
Lights,Ellie Goulding
Like A Virgin,Madonna
Lips Are Movin,Meghan Trainor
Listen To Your Heart,Roxette
Little Children,Billy J. Kramer and The Dakotas
Little Jeannie,Elton John
Livin' La Vida Loca,Ricky Martin
Livin' On A Prayer,Bon Jovi
Locked Out Of Heaven,Bruno Mars
Lollipop,Lil Wayne
London Bridge,Fergie
Lonely No More,Rob Thomas
Look Away,Chicago
Looking For A New Love,Jody Watley
Lose Control,Missy Elliott
Lose Yourself,Eminem
Lost In Love,Air Supply
Loungin,LL Cool J
Love Hangover,Diana Ross
Love In This Club,Usher
Love Me Do,Beatles
Love Me Like You Do,Ellie Goulding
Love Song,Sara Bareilles
Love Story,Taylor Swift
Love The Way You Lie,Eminem
Love Will Keep Us Together,Captain and Tennille
Love Will Never Do,Janet Jackson
Lovin' You,Minnie Riperton
Low,Flo Rida
MMMBop,Hanson
Magic,Olivia Newton-John
Magic Stick,Lil' Kim
Make It With You,Bread
Makes Me Wonder,Maroon 5
Mama Told Me,Three Dog Night
Man In The Mirror,Michael Jackson
Maneater,Daryl Hall and John Oates
Margaritaville,Jimmy Buffett
Me And Bobby McGee,Janis Joplin
Me And Mrs. Jones,Billy Paul
Midnight At The Oasis,Maria Muldaur
Mirrors,Justin Timberlake
Miss You,Rolling Stones
Miss You,Aaliyah
Miss You Much,Janet Jackson
Missing,Everything But The Girl
Missing You,John Waite
Mo Money Mo Problems,Notorious B.I.G.
Money For Nothing,Dire Straits
Mony Mony,Billy Idol
More Than Words,Extreme
"More, More, More",Andrea True Connection
Morning Train,Sheena Easton
Motownphilly,Boyz II Men
Move Along,All-American Rejects
Move Ya Body,Nina Sky
Moves Like Jagger,Maroon 5
Mr. Big Stuff,Jean Knight
Mr. Brightside,Killers
